Altium Designer Pick and Place Locations
D:\Users\PC-DCD\Desktop\四轴飞控\PCB\Fly\Project Outputs for MyFly\Pick Place for MyFly.csv

========================================================================================================================
File Design Information:

Date:       07-11-18
Time:       18:44
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R17","22R","BottomLayer","RES_0603","20.4470","24.0284","360","贴片电阻"
"X2","27M","TopLayer","XTAL-3225","24.3095","26.3444","270","4脚无源晶振"
"X1","8MHz","TopLayer","XTAL-3215-3P","17.7800","8.2296","0","3脚无源晶振"
"VD3","MBR0520","BottomLayer","SOD-123","29.1338","28.8544","180","肖特基二极管"
"VD2","MBR0520","BottomLayer","SOD-123","22.9920","19.2024","180","肖特基二极管"
"VD1","SS14","BottomLayer","SOD-123","23.0378","16.9418","360","肖特基二极管"
"USB1","USB-5P","TopLayer","USB-MICRO_E","6.8490","22.4522","270","微型USB母座"
"U2","DC MP2315","BottomLayer","SOT23-8L","18.4150","27.2716","360","DC降压芯片"
"U1","STM32F405RGT6","TopLayer","LQFP-64","19.2278","16.6624","0","Flaah:256/RAM:48/IO:51"
"TP24","TEST","TopLayer","TEST_PAD_1.8","1.6384","34.1736","180","测试点"
"TP23","TEST","TopLayer","TEST_PAD_1.8","1.6384","31.5624","180","测试点"
"TP22","TEST","TopLayer","TEST_PAD_1.8","1.6384","2.0060","360","测试点"
"TP21","TEST","TopLayer","TEST_PAD_1.8","1.6384","4.6172","360","测试点"
"TP19","TEST","TopLayer","TEST_PAD_1.8","42.4306","34.0158","180","测试点"
"TP18","TEST","TopLayer","TEST_PAD_1.8","42.4306","31.4046","180","测试点"
"TP16","TEST","TopLayer","TEST_PAD_1.8","42.4306","2.1638","360","测试点"
"TP15","TEST","TopLayer","TEST_PAD_1.8","42.4306","4.7750","360","测试点"
"TP14","TEST","TopLayer","TEST_PAD_1.8","38.6080","19.3040","90","测试点"
"TP13","TEST","TopLayer","TEST_PAD_1.8","13.9700","31.7500","360","测试点"
"TP12","TEST","TopLayer","TEST_PAD_1.8","38.6080","16.6793","270","测试点"
"TP11","TEST","TopLayer","TEST_PAD_1.8","38.6080","11.4300","90","测试点"
"TP10","TEST","TopLayer","TEST_PAD_1.8","36.0680","11.4300","90","测试点"
"TP9","TEST","TopLayer","TEST_PAD_1.8","16.5100","31.7500","360","测试点"
"TP8","TEST","TopLayer","TEST_PAD_1.8","38.6080","14.0547","270","测试点"
"TP7","TEST","TopLayer","TEST_PAD_1.8","36.0680","14.0547","90","测试点"
"TP6","TEST","TopLayer","TEST_PAD_1.8","13.9128","34.6710","0","测试点"
"TP5","TEST","TopLayer","TEST_PAD_1.8","16.6370","34.6710","0","测试点"
"TP4","TEST","TopLayer","TEST_PAD_1.8","11.1886","34.6354","0","测试点"
"TP3","TEST","TopLayer","TEST_PAD_1.8","38.6080","27.1780","90","测试点"
"TP2","TEST","TopLayer","TEST_PAD_1.8","38.6080","24.5533","90","测试点"
"TP1","TEST","TopLayer","TEST_PAD_1.8","38.6080","21.9287","90","测试点"
"R25","1K","TopLayer","Res_0402","32.4866","31.8516","180","贴片电阻"
"R24","75R","TopLayer","Res_0402","32.4358","34.5948","360","贴片电阻"
"R23","75R","TopLayer","Res_0402","28.4734","34.1376","180","贴片电阻"
"R22","20K","BottomLayer","RES_0603","13.7922","24.0030","180","贴片电阻"
"R21","7.5K","BottomLayer","RES_0603","13.6398","26.7636","270","贴片电阻"
"R20","40.2K","BottomLayer","RES_0603","27.1526","21.5392","360","贴片电阻"
"R19","75K","BottomLayer","RES_0603","14.6050","29.3878","180","贴片电阻"
"R18","100K","BottomLayer","RES_0603","15.5956","26.7716","270","贴片电阻"
